no,prodi,tahun_masuk,jumlah mahasiswa,Akhir TS-6,Akhir TS-5,Akhir TS-4,Akhir TS-3,Akhir TS-2,Akhir TS-1,Akhir TS,tahun_lulus,lama_studi,do
1,tsipil,TS-6,149,0,0,0,17,55,35,9,116,5.31,33
2,tsipil,TS-5,168,0,0,0,0,16,82,11,109,4.95,59
3,tsipil,TS-4,114,0,0,0,0,0,50,24,74,4.32,40
4,tsipil,TS-3,218,0,0,0,0,0,0,88,88,4,130
5,tinformatika,TS-6,115,0,0,0,22,18,19,11,70,5.27,45
6,tinformatika,TS-5,124,0,0,0,0,10,33,5,48,4.9,76
7,tinformatika,TS-4,91,0,0,0,0,0,19,16,35,4.46,56
8,tinformatika,TS-3,196,0,0,0,0,0,0,25,25,4,171
9,tarsitek,TS-6,90,0,0,0,0,28,29,12,69,5.77,21
10,tarsitek,TS-5,102,0,0,0,0,39,20,6,65,4.49,37
11,tarsitek,TS-4,86,0,0,0,0,0,2,45,47,4.96,39
12,tarsitek,TS-3,92,0,0,0,0,0,0,2,2,4,90
13,pwk,TS-6,91,0,0,0,0,55,6,3,64,5.19,27
14,pwk,TS-5,79,0,0,0,0,3,31,13,47,5.21,32
15,pwk,TS-4,86,0,0,0,0,0,13,42,55,4.76,31
16,pwk,TS-3,85,0,0,0,0,0,0,15,15,4,70
17,tmesin,TS-6,58,0,0,0,3,11,8,2,24,5.38,34
18,tmesin,TS-5,77,0,0,0,0,7,24,4,35,4.91,42
19,tmesin,TS-4,62,0,0,0,0,0,10,16,26,4.62,36
20,tmesin,TS-3,56,0,0,0,0,0,0,7,7,4,49
21,tlingkungan,TS-6,27,0,0,0,3,4,11,6,24,5.83,3
22,tlingkungan,TS-5,48,0,0,0,0,7,22,4,33,4.91,15
23,tlingkungan,TS-4,46,0,0,0,0,0,11,17,28,4.61,18
24,tlingkungan,TS-3,34,0,0,0,0,0,0,8,8,4,26
25,telektro,TS-6,80,0,0,0,0,27,13,6,46,5.54,34
26,telektro,TS-5,83,0,0,0,0,10,17,11,38,5.03,45
27,telektro,TS-4,65,0,0,0,0,0,32,9,41,4.22,24
28,telektro,TS-3,85,0,0,0,0,0,0,21,21,4,64
